SSID,BSSID,Signal
Guest Network,b8:6a:97:44:6f:42,-54
Guest Network,b8:6a:97:44:6f:42,-55
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-46
STWCU_ICR-2,e0:01:a6:60:36:3b:,-83
STWCU_ICR-2,e0:01:a6:60:36:3a:,-68
HAll FRONT,b8:6a:97:44:6f:92:,-45
HAll FRONT,b8:6a:97:44:6f:91:,-31
STUDENT-HUB,68:21:5f:9d:08:a0:,-82
STUDENT-HUB,b8:6a:97:14:3f:81:,-79
STUDENT-HUB,68:21:5f:9d:09:c7:,-79
STUDENT-HUB,68:21:5f:9d:09:bf:,-81
STWCU_LR-10,68:21:5f:9d:0b:18:,-70
STWCU_LR-10,68:21:5f:9d:0b:17:,-56
STWCU_LR-11,b8:6a:97:44:6e:ea:,-59
STWCU_LR-11,b8:6a:97:44:6e:e9:,-45
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-55
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-63
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-46
STWCU_LR-9,e0:01:a6:80:cc:12:,-82
STWCU_LR-9,e0:01:a6:80:cc:13:,-86
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-65
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-84
minila_2.4,04:75:f9:04:18:f9:,-73
pradipnet_5,c8:9c:bb:6e:2a:3d:,-83
SOFTWARICA_COVENTRY,62:21:5f:9d:09:c7:,-78
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-85
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-85
STWCU_LR-12,80:a2:35:4d:b2:1a:,-73
STWCU_SL-6,b8:6a:97:44:6f:25:,-85
MVIC_Guest,e2:01:a6:11:26:48:,-80
STW_CU,b8:6a:97:14:41:c8:,-81
STWCU_AI_AP1,e0:01:a6:80:c7:f2:,-84
STWCU_ICR-1,68:21:5f:9d:09:64:,-81
pradipnet_2,c8:9c:bb:6e:2a:39:,-73
roshanh1405_2,d8:b0:20:18:21:b9:,-83
Unknown,a8:32:9a:0c:63:8b:,-82
rajankrishnastha,d8:b0:20:26:e4:f9:,-77
STWCU_LR-8,68:21:5f:9d:07:f7:,-73
Guest Network,b8:6a:97:44:6f:41:,-44
Guest Network,b8:6a:97:44:6f:42:,-47
STWCU_ICR-2,e0:01:a6:60:36:3b:,-84
STWCU_ICR-2,e0:01:a6:60:36:3a:,-63
HAll FRONT,b8:6a:97:44:6f:92:,-42
HAll FRONT,b8:6a:97:44:6f:91:,-27
STUDENT-HUB,68:21:5f:9d:08:a0:,-82
STUDENT-HUB,b8:6a:97:14:3f:81:,-79
STUDENT-HUB,68:21:5f:9d:09:c7:,-79
STUDENT-HUB,68:21:5f:9d:09:bf:,-81
STWCU_LR-10,68:21:5f:9d:0b:18:,-62
STWCU_LR-10,68:21:5f:9d:0b:17:,-56
minila_5,04:75:f9:04:18:fd:,-82
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54
STWCU_LR-11,b8:6a:97:44:6e:e9:,-63
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-64
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-74
Guest Network,b8:6a:97:44:6f:41:,-44
Guest Network,b8:6a:97:44:6f:42:,-47
STWCU_LR-9,e0:01:a6:80:cc:12:,-82
STWCU_LR-9,e0:01:a6:80:cc:13:,-86
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-64
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-84
minila_2.4,04:75:f9:04:18:f9:,-75
pradipnet_5,c8:9c:bb:6e:2a:3d:,-80
SOFTWARICA_COVENTRY,62:21:5f:9d:09:c7:,-81
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-85
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-85
STWCU_LR-12,80:a2:35:4d:b2:1a:,-73
sudhir007,04:75:f9:08:ae:ad:,-88
STWCU_SL-6,b8:6a:97:44:6f:25:,-85
MVIC_Guest,e2:01:a6:11:26:48:,-80
STW_CU,b8:6a:97:14:41:c8:,-81
STWCU_AI_AP1,e0:01:a6:80:c7:f2:,-84
STWCU_ICR-1,68:21:5f:9d:09:64:,-81
roshendra_5,40:e1:e4:8a:9c:5e:,-82
pradipnet_2,c8:9c:bb:6e:2a:39:,-73
roshanh1405_2,d8:b0:20:18:21:b9:,-83
Unknown,a8:32:9a:0c:63:8b:,-80
rajankrishnastha,d8:b0:20:26:e4:f9:,-77
STWCU_LR-8,68:21:5f:9d:07:f7:,-73
Guest Network,b8:6a:97:44:6f:41:,-51
Guest Network,b8:6a:97:44:6f:42:,-52
STWCU_ICR-2,e0:01:a6:60:36:3b:,-90
STWCU_ICR-2,e0:01:a6:60:36:3a:,-63
HAll FRONT,b8:6a:97:44:6f:92:,-42
HAll FRONT,b8:6a:97:44:6f:91:,-41
STWCU_LR-10,68:21:5f:9d:0b:18:,-71
minila_5,04:75:f9:04:18:fd:,-75
STWCU_LR-11,b8:6a:97:44:6e:ea:,-70
STWCU_LR-11,b8:6a:97:44:6e:e9:,-66
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-64
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-74
Guest Network,b8:6a:97:44:6f:41:,-51
Guest Network,b8:6a:97:44:6f:42:,-52
STWCU_LR-9,e0:01:a6:80:cc:12:,-75
STWCU_LR-9,e0:01:a6:80:cc:13:,-86
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-58
minila_2.4,04:75:f9:04:18:f9:,-75
LR5,72:21:5f:9d:08:9f:,-74
pradipnet_5,c8:9c:bb:6e:2a:3d:,-85
SOFTWARICA_COVENTRY,62:21:5f:9d:09:c7:,-81
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-87
STWCU_LR-12,80:a2:35:4d:b2:1a:,-73
STWCU_AI_AP4,e0:01:a6:80:c9:0b:,-89
STWCU_AI_AP1,e0:01:a6:80:c7:f3:,-89
sudhir007,04:75:f9:08:ae:ad:,-88
roshendra_5,40:e1:e4:8a:9c:5e:,-82
Unknown,a8:32:9a:0c:63:8b:,-80
Guest Network,b8:6a:97:44:6f:41:,-39
Guest Network,b8:6a:97:44:6f:42:,-41
STWCU_ICR-2,e0:01:a6:60:36:3b:,-83
STWCU_ICR-2,e0:01:a6:60:36:3a:,-62
HAll FRONT,b8:6a:97:44:6f:92:,-47
HAll FRONT,b8:6a:97:44:6f:91:,-27
STWCU_LR-10,68:21:5f:9d:0b:18:,-71
STWCU_LR-10,68:21:5f:9d:0b:17:,-64
minila_5,04:75:f9:04:18:fd:,-85
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54
STWCU_LR-11,b8:6a:97:44:6e:e9:,-51
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-61
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-77
Guest Network,b8:6a:97:44:6f:41:,-39
Guest Network,b8:6a:97:44:6f:42:,-41
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-64
minila_2.4,04:75:f9:04:18:f9:,-78
sarita@vianet_5G,5c:a4:f4:f5:ba:60:,-89
STW_CU,b8:6a:97:14:41:c8:,-76
LR5,72:21:5f:9d:08:9f:,-78
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81
STWCU_LR-12,80:a2:35:4d:b2:1a:,-76
AMAY_NTFiber,8c:dc:02:8c:a2:f8:,-74
sudhir007,04:75:f9:08:ae:a9:,-82
STUDENT-HUB,68:21:5f:9d:09:bf:,-80
Unknown,a8:32:9a:0c:63:8b:,-76
Guest Network,b8:6a:97:44:6f:41:,-42
Guest Network,b8:6a:97:44:6f:42:,-46
STWCU_ICR-2,e0:01:a6:60:36:3b:,-79
STWCU_ICR-2,e0:01:a6:60:36:3a:,-65
HAll FRONT,b8:6a:97:44:6f:92:,-45
HAll FRONT,b8:6a:97:44:6f:91:,-36
STUDENT-HUB,68:21:5f:9d:08:a0:,-83
STUDENT-HUB,80:a2:35:4d:b3:ca:,-84
STWCU_LR-10,68:21:5f:9d:0b:18:,-60
STWCU_LR-10,68:21:5f:9d:0b:17:,-79
minila_5,04:75:f9:04:18:fd:,-82
STWCU_LR-11,b8:6a:97:44:6e:ea:,-63
STWCU_LR-11,b8:6a:97:44:6e:e9:,-53
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-57
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-68
Guest Network,b8:6a:97:44:6f:41:,-42
Guest Network,b8:6a:97:44:6f:42:,-46
STWCU_LR-9,e0:01:a6:80:cc:12:,-75
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-63
minila_2.4,04:75:f9:04:18:f9:,-72
siddhubhai_5,ec:a2:a0:06:ef:d6:,-89
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-71
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-84
NTFiber-c42e,b4:cf:e0:0e:c4:2f:,-84
pradipnet_2,c8:9c:bb:6e:2a:39:,-78
3rdFLOOR,0c:cf:89:db:02:75:,-81
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-39
STWCU_ICR-2,e0:01:a6:60:36:3b:,-80
STWCU_ICR-2,e0:01:a6:60:36:3a:,-75
STWCU_LR-10,68:21:5f:9d:0b:18:,-65
minila_5,04:75:f9:04:18:fd:,-80
STWCU_LR-11,b8:6a:97:44:6e:ea:,-68
STWCU_LR-11,b8:6a:97:44:6e:e9:,-53
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-58
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-70
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-39
HAll FRONT,b8:6a:97:44:6f:91:,-40
STWCU_LR-9,e0:01:a6:80:cc:12:,-84
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-67
sarita@vianet,5c:a4:f4:f5:ba:5e:,-74
Tenda_4A05D0,04:95:e6:4a:05:d0:,-79
pradipnet_2,c8:9c:bb:6e:2a:39:,-77
pradipnet_5,c8:9c:bb:6e:2a:3d:,-80
roshendra_5,40:e1:e4:8a:9c:5e:,-78
STWCU_AI_AP2,e0:01:a6:80:cc:2a:,-87
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-82
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-40
STWCU_ICR-2,e0:01:a6:60:36:3b:,-80
STWCU_ICR-2,e0:01:a6:60:36:3a:,-66
HAll FRONT,b8:6a:97:44:6f:92:,-41
HAll FRONT,b8:6a:97:44:6f:91:,-40
STWCU_LR-10,68:21:5f:9d:0b:18:,-61
minila_5,04:75:f9:04:18:fd:,-83
STWCU_LR-11,b8:6a:97:44:6e:ea:,-59
STWCU_LR-11,b8:6a:97:44:6e:e9:,-53
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-53
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-68
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-40
STWCU_LR-9,e0:01:a6:80:cc:12:,-84
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-63
sarita@vianet,5c:a4:f4:f5:ba:5e:,-74
Tenda_4A05D0,04:95:e6:4a:05:d0:,-79
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-72
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83
pradipnet_2,c8:9c:bb:6e:2a:39:,-77
pradipnet_5,c8:9c:bb:6e:2a:3d:,-86
STUDENT-HUB,68:21:5f:9d:08:9f:,-73
STUDENT-HUB,68:21:5f:9d:09:c7:,-79
LR5,72:21:5f:9d:08:9f:,-72
roshendra_5,40:e1:e4:8a:9c:5e:,-78
STWCU_AI_AP2,e0:01:a6:80:cc:2a:,-87
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-54
STWCU_ICR-2,e0:01:a6:60:36:3b:,-84
STWCU_ICR-2,e0:01:a6:60:36:3a:,-68
HAll FRONT,b8:6a:97:44:6f:92:,-43
HAll FRONT,b8:6a:97:44:6f:91:,-34
STWCU_LR-10,68:21:5f:9d:0b:18:,-60
STWCU_LR-10,68:21:5f:9d:0b:17:,-67
minila_5,04:75:f9:04:18:fd:,-79
STWCU_LR-11,b8:6a:97:44:6e:ea:,-57
STWCU_LR-11,b8:6a:97:44:6e:e9:,-58
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-65
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-75
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-54
STWCU_LR-9,e0:01:a6:80:cc:12:,-84
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-64
minila_2.4,04:75:f9:04:18:f9:,-73
sarita@vianet,5c:a4:f4:f5:ba:5e:,-74
Tenda_4A05D0,04:95:e6:4a:05:d0:,-79
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-72
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83
pradipnet_2,c8:9c:bb:6e:2a:39:,-71
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81
STUDENT-HUB,68:21:5f:9d:08:a0:,-84
STUDENT-HUB,68:21:5f:9d:08:9f:,-73
STUDENT-HUB,68:21:5f:9d:09:c7:,-79
Unknown,a8:32:9a:0c:63:8b:,-77
LR5,72:21:5f:9d:08:9f:,-72
roshendra_5,40:e1:e4:8a:9c:5e:,-78
STWCU_AI_AP2,e0:01:a6:80:cc:2a:,-87
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-49
STWCU_ICR-2,e0:01:a6:60:36:3b:,-78
STWCU_ICR-2,e0:01:a6:60:36:3a:,-69
HAll FRONT,b8:6a:97:44:6f:92:,-43
HAll FRONT,b8:6a:97:44:6f:91:,-34
STWCU_LR-10,68:21:5f:9d:0b:18:,-60
STWCU_LR-10,68:21:5f:9d:0b:17:,-67
minila_5,04:75:f9:04:18:fd:,-83
STWCU_LR-11,b8:6a:97:44:6e:ea:,-53
STWCU_LR-11,b8:6a:97:44:6e:e9:,-58
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-52
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-70
Guest Network,b8:6a:97:44:6f:41:,-38
Guest Network,b8:6a:97:44:6f:42:,-49
STWCU_LR-9,e0:01:a6:80:cc:12:,-71
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-58
minila_2.4,04:75:f9:04:18:f9:,-75
sarita@vianet,5c:a4:f4:f5:ba:5e:,-74
Tenda_4A05D0,04:95:e6:4a:05:d0:,-79
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-72
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83
sarita@vianet_5G,5c:a4:f4:f5:ba:60:,-90
STW_CU,b8:6a:97:14:41:c8:,-78
pradipnet_2,c8:9c:bb:6e:2a:39:,-71
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81
STUDENT-HUB,68:21:5f:9d:08:a0:,-84
STUDENT-HUB,68:21:5f:9d:08:9f:,-73
STUDENT-HUB,68:21:5f:9d:09:c7:,-79
Unknown,a8:32:9a:0c:63:8b:,-77
LR5,72:21:5f:9d:08:9f:,-75
roshendra_5,40:e1:e4:8a:9c:5e:,-78
STWCU_AI_AP2,e0:01:a6:80:cc:2a:,-87
Guest Network,b8:6a:97:44:6f:41:,-46
Guest Network,b8:6a:97:44:6f:42:,-53
STWCU_ICR-2,e0:01:a6:60:36:3b:,-80
STWCU_ICR-2,e0:01:a6:60:36:3a:,-64
HAll FRONT,b8:6a:97:44:6f:92:,-44
STWCU_LR-10,68:21:5f:9d:0b:18:,-60
STWCU_LR-10,68:21:5f:9d:0b:17:,-71
minila_5,04:75:f9:04:18:fd:,-81
STWCU_LR-11,b8:6a:97:44:6e:ea:,-57
STWCU_LR-11,b8:6a:97:44:6e:e9:,-64
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-54
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-70
Guest Network,b8:6a:97:44:6f:41:,-46
Guest Network,b8:6a:97:44:6f:42:,-52
STWCU_LR-9,e0:01:a6:80:cc:12:,-69
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-59
minila_2.4,04:75:f9:04:18:f9:,-76
BeejaGirlsHostel.5,c4:48:fa:21:9d:4d:,-87
NoiR_5G,34:60:f9:22:a2:36:,-85
nirvan2021_5,c8:9c:bb:6d:58:cd:,-83
sudhir007,04:75:f9:08:ae:a9:,-82
STUDENT-HUB,68:21:5f:9d:08:a0:,-83
STUDENT-HUB,68:21:5f:9d:09:c7:,-80
STWCU_AI_AP2,e0:01:a6:80:cc:2a:,-83
